author,introduction,price,title
林屹,自己的PPT为什么不好看？也许不是模板不够，而是你缺乏设计感！设计不是一种专业，而是每个人应该具备的能力。这本书会教你思考如何在注意力稀缺的时代，设计出更具视觉化的PPT传播信息，设计菜鸟也能变身设计达人。自己制作的PPT为什么不好看？也许不是因为模板不够，而是因为你缺乏设计感！设计不是一种专业，而是每个人应该具备的能力。这本书会教你思考如何在注意力稀缺的时代设计出更具视觉化的PPT来传播信息，让设计菜鸟也能变身设计达人。本书重在启发，设计、思维、文字、形状、图片和图表六大模块涵盖了PPT制作中*重要的知识维度。作者多年的培训经验沉淀出大量真实的PPT制作痛，案例真实鲜活，结合设计原理，图文直观，通俗易懂。本书适合各行各业需要制作PPT的读者阅读。特别提示：学习无捷径，阅读本书还需要你的思考——如果你是一个善于通过思考收获知识的人，那么这本书是你的不二选择。,48.4,PPT设计的艺术——人人都用得上的PPT设计书(全彩)
黑马程序员 编著,本书是针对Web前端发人员编写的一本快速掌握微信小程序发的教程。本书通过通俗易懂的语言、丰富实用的案例，讲解微信小程序的发技术。 本书共8章，第1章讲解微信小程序的门知识，介绍微信小程序的特和发展前景；第2章和第3章分别讲解微信小程序的页面制作和页面交互；第4章和第5章讲解微信小程序的常用API；第6章讲解综合项目“餐”微信小程序；第7章讲解微信小程序发阶；第8章讲解基于uni-app发的“短视频”微信小程序。 本书适合作为高等教育本、专科院校计算机相关专业的教材，也可作为广大计算机编程爱好者的参考书。,38.8,微信小程序开发实战(第2版)
布赖森·佩恩(Bryson Payne) 著,本书旨在教你像黑客一样思考，通过了解黑客工具和技术，解决各种各样需要防御的在线威胁；通过在虚拟实验室中以安全的方式对自己尝试各种攻，并与实际的网络自我防御技巧相结合，让读者明白如何防范攻行为。本书介绍了一些常用类型的网络攻防，包括物理访问攻防、谷歌攻和侦测技巧、网络钓鱼和社会工程攻防、恶意软件远程攻防、Web攻防、密码攻防，以及移动设备和汽车攻分析等。 本书适合作为网络安全行业新人的门读物，也适用于计算机初学者、IT从业人员以及对黑客攻防与安全维护感兴趣的其他人员，同时可供高等院校安全相关专业师生学习参考。,44.67,实用黑客攻防技术
陈璟、王萌、梁婷,本书以通俗易懂的方式介绍人工智能的基础知识及其应用，采用案例的形式讲解，方便读者轻松阅读。 全书共5章，首先介绍人工智能的基础知识，然后从文本、图像、语音三方面介绍自然语言处理、图像处理、语音识别等人工智能研究领域，后通过实战案例让读者全面了解人工智能的应用。 本书适合有志于了解人工智能基础知识及应用的初、高中学生，也可以作为人工智能初学爱好者的学习资料。,48.86,写给青少年的人工智能(Python版)
许正军;张燕玲;袁岳,你是否发现，物、短视频、资讯等平台背后的智能推荐算法，不断分析着你的物偏好和浏览习惯；价格算法时刻计算调整着你能到的商品价位；导航算法、网约车平台算法和无人驾驶汽车算法等等，时刻影响着我们的出行…… 无论是否愿意，我们的生活已被算法包围。为了帮助大家全面认知我们当前所身处的世界，消弭技术发展过快带来的困扰与隐忧，《人人都离不的算法——图解算法应用》一方面从人工智能算法的五大核心应用领域—公共、商业、医疗、工业、金融的典型场景出发，以通俗化、故事化和漫画化的具体事例，深解读算法是如何在各行各业具体发挥作用和对日常生活的影响；另一方面，将从算法的责任监管和立法治理等角度，阐述算法发与应用者们应该如何守好伦理底线，让科技向善而行。 《人人都离不的算法——图解算法应用》脉络清晰，图文并茂，无论你是工作中会触到算法应用的从业人员，还是对算法应用感到好奇的小白，本书都有助于你视野，看到算法在实际应用中的波澜壮阔。,48.86,人人都离不开的算法——图解算法应用
（美）埃里克·马瑟斯（Eric Matthes）,本书是针对所有层次Python读者而作的Python门书。全书分两部分：*部分介绍用Python编程所必须了解的基本概念，包括强大的Python库和工具，以及列表、字典、if语句、类、文件与异常、代码测试等内容；第二部分将理论付诸实践，讲解如何发三个项目，包括简单的2D游戏、利用数据生成交互式的信息图以及创建和定制简单的Web应用，并帮助读者解决常见编程问题和困惑。第2版行了全面修订，简化了Python安装流程，新增了f字符串、get()方法等内容，并且在项目中使用了Plotly库以及新版本的Django和Bootstrap，等等。,41.0,Python编程：从入门到实践(第2版)
苏江,本书将从 ChatGPT 的基础知识、应用场景和案例分析等方面展讲解。例如， 如何使用 ChatGPT 实现自然语言翻译、如何使用 ChatGPT 学习英语，以及修改 代码、生成表格，甚至发菜品等，所举例的应用场景中包含了大量的实用技巧 和建议，能帮助读者更好地掌握和应用 ChatGPT 工具。 本书共分为 9 章，各章的主题分明，内容循序渐。第 1 章对 ChatGPT 行了一些基础的介绍，然后以对话的形式带你快速门；第 2 ～ 5 章分别从学习、 工作、娱乐、代码四个角度介绍了不同领域下 ChatGPT 的应用场景，案例十分丰 富；第 6 章详细介绍了 ChatGPT 的实用指令和 AI 角色的个性化设置，带你探索 ChatGPT 的趣味和实用性，推荐读者重阅读；第 7 章则对的 AI 工具行 了介绍；第 8 章对未来趋势行了展望，分享了许多有意思的话题；第 9 章则对 ChatGPT 在诸多细分行业中的创新应用行了众多举例，或许读者能从这些例子 中获得启发。 希望这本书能够帮助读者更好地理解和应用 ChatGPT 技术，让读者在工作和 生活中更加得心应手。,64.4,ChatGPT使用指南:人人都应该掌握的AI最强工具
[加] 阿利斯泰尔·克罗尔 (Alistair Croll)[加] 本杰明·尤科维奇(Benjamin Yoskovitz) 著,本书围绕精益创业展讨论，融合了精益创业法、客户发、商业模式画布和敏捷/持续集成的精华。本书汇聚了100多位创始人、投资人、内部创业者和创新者的成功创业经验，呈现了 30 多个极具价值的案例分析，可以为各阶段的创业者提供行为准则。 如果你是一名创业者，或者你是一名产品发、产品管理、市场营销、公共关系和投资领域的商务专业人员，那么本书不容错过。,59.9,精益数据分析(珍藏版)
翟尤 郭晓静 曾宣玮 著,AIGC（Artificial Intelligence Generated Content）中文译为“人工智能生成内容”。狭义上的AIGC 指利用 AI 自动生成内容的生产方式。广义的 AIGC 可以基于训练数据和生成算法模型，自主生成新的文本、图像、音乐、视频、3D 交互内容等各种形式的内容和数据，甚至可能启科学新发现，创造新的价值和意义。 本书旨在通过深浅出的讲解，帮助读者认识并了解 AIGC，一步探究 AIGC 未来的发展方向及其可能面临的挑战，并通过一系列丰富的 AIGC 应用案例展示其在各个领域应用的无限可能。此外，本书还联合投资界、学术界和创业圈的三位专业人士畅谈了关于 AIGC 的深洞察。 本书无须读者具备专业知识基础，适合对 AIGC 感兴趣的读者阅读。,44.67,AIGC未来已来
刘新宇,"本书从数字、递归、对称、范畴、融合、无穷、悖论七个方面介绍了计算机程序的数学基础和原理，并以“同构”概念为线索揭示出编程本质上是和数学同构的。第1章介绍皮亚诺算术公理系统,通过5条公理，构筑了计算机程序大厦的基石;通过单向表、斐波那契数列等例子，展示了和自然数同构的计算结构。第2章介绍递归，通过欧几里得算法作为端，终把递归的数学原理构建在Lambda演算和Y组合子之上。第3章介绍对称群、环、域等抽象代数结构，解释了伽罗瓦理论这一抽象思维的明珠。第4章介绍范畴论，把列表、异常、多态、类型系统、复合数据结构等众多编程概念构筑在范畴论的基础上。第5章介绍融合律，它是行算法推导和优化的有力工具。第6章介绍无穷，给出了康托尔的无穷集合论和超限数概念，介绍了编程中流的概念和无穷的关系。第7章以罗素悖论、可计算性和哥德尔不完全性定理结束本书，介绍了计算能力的边界和对编程基础哲学的影响。 本书还在各个章节中介绍相关数学家的人生经历和逸闻趣事，讲解他们如何克服困难、追求真理、创造奇迹，并穿插讲述编程、数学、艺术、音乐之间的有趣联系。 ",53.0,同构:编程中的数学
吕云翔  主编,本书主要介绍如何使用Python语言行网络爬虫程序的发，从Python语言的基本特性手，详细介绍Python网络爬虫发的多个方面，涉及HTTP、HTML、正则表达式、JavaScript、自然语言处理、数据处理与科学计算等不同领域的内容。全书共12章，包括基础篇、阶篇、提高篇和实战篇4个部分。基础篇包括第1、2、3章，分别为Python基础及网络爬虫、静态网页抓取、数据存储。阶篇包括第4、5、6章，分别为JavaScript与动态内容、模拟登录与验证码、爬虫数据的分析与处理。提高篇包括第7、8、9章，分别为爬虫的灵活性和多样性、Selenium模拟浏览器与网站测试、爬虫框架Scrapy与反爬虫。实战篇提供了3个实战项目供读者学习参考。本书内容覆盖网络数据抓取与爬虫编程中的主要知识和前沿技术。同时，本书在重视理论基础的前提下，从实用性和丰富度出发，结合实例演示爬虫程序编写的核心流程，将理论与实践结合，力求提高读者的网络爬虫实操技能。 本书可作为高等院校数据科学、统计学、计算机科学、软件工程等相关专业课程的教材，也可作为Python语言初学者、网络爬虫技术爱好者的参考书。,31.9,Python网络爬虫:从入门到精通(附微课)
李强,本书聚焦Linux网络安全，强调实战。全书共13章，从网络概念引，分别介绍了网络相关的基础知识、虚拟专用网络、网络防火墙、网络分析工具、用户的权限、文件系统、软件包、应用安全、安全扫描工具、备份重要数据、侵检测技术、日志与审计工具，以及生产环境中的用户权限管理的综合案例，兼顾了理论和实践操作。 本书将Linux网络安全方面的核心知识与实际应用案例相结合，配备了大量实操案例，读者可以一边阅读一边操作，遇到一些重、难均有对应的视频讲解，利用手机扫描案例旁的二维码即可实时观看。本书针对知识配有具体的“实操”案例，供读者练习；每章还精心准备了“实战案例”，让读者对本章所学知识行巩固练习；设置“专家有话说”和“知识拓展”环节，帮助读者拓展知识面；同时，本书还提供了程序源代码、教学视频及授课用PPT等丰富的学习资源，帮助读者更好地学习Linux网络安全技术的核心知识。 本书涵盖了Linux不同难度的网络安全实战案例，适合网络安全工程师、Linux运维人员、软件发人员、系统管理员以及大中专院校计算机相关专业师生等读者阅读。,48.0,Linux安全实战
毕嵘,《极简时间管理》是一本非常实用的时间管理指南，它不仅帮助你学会如何合理安排时间，还教你如何集中精力处理任务，从而提高工作效率。作者以简单易懂的语言，介绍了优先级管理、任务拆分、目标设定等实战技巧，以及一学就会而且可持续的时间管理技巧。 通过运用日志复盘法、番茄工作法、打卡、快速排程法、高能难事法、时间容器法、模板应用法、艾宾浩斯记忆法、时间拆分法等时间管理术，大大提升工作效率，减少时间浪费。无论你是工作狂人、学生还是自由职业者，都可以从这本书中获取到实用的帮助。强烈推荐给所有需要提高时间管理效率的读者！,54.6,"极简时间管理:4倍效率实操方法,轻松实现“开挂”人生"
(英)丹尼尔·博尔(Daniel Bor),我们欣赏梵高的《星空》，陶醉于贝多芬的《命运交响曲》，面对白雪覆盖的山峰，敬畏之情油然而生，所有这些体验都离不开意识。然而，意识具有主观性，属于个人经验，很难准确把握。长久以来，哲学家们都声称，意识太神秘了，科学无法洞悉意识。 　神经科学家丹尼尔?博尔在《贪婪的大脑：为何人类会无止境地寻求意义》一书中提出了一种新的意识运作模式，他的观点与传统的哲学观点完全不同。博尔认为，意识是大脑的产物，随着知识积累，意识也在发展。意识实际上是一个思想工厂，是经过精心选择的、致力于创新的精神空间。意识的主要任务是发现深层结构。 　　博尔的意识运作模式解释了我们的大脑为何会贪婪地探寻信息，尤其是那些具有模式的信息。比如，当生理需求得到满足后，我们会玩填字游戏和数独游戏。从生物学角度看，玩这些游戏只是在浪费时间；但在博尔看来，这种探寻结构的行为有重大的进化意义。正是这种对结构模式的探寻，引导人类发现了火，学会耕种。 　本书将认知与创造力相联系，为解开意识这一科学谜团提供了一种独特的见解。,25.35,贪婪的大脑:为何人类会无止境地寻求意义
倪振松  刘宏嘉  陈建平 主编  谢岳富 副主编,Docker 是目前流行的容器平台。作为发、发布和运行应用程序的放平台，Docker为快速发布、测试和部署应用程序提供了一整套技术和方法。 《Docker与Kubernetes容器虚拟化技术与应用》主要围绕容器生态体系中的核心组件Docker和Kubernetes展，介绍了容器的组成及相关概念、容器系统架构和运行原理，重剖析了Docker和Kubernetes两大工具的核心概念、组成和工作原理，通过大量的课堂案例和实验，使学生能够快速掌握利用Docker完成容器的部署。另外，《Docker与Kubernetes容器虚拟化技术与应用》还赠送教学PPT课件和教学微大纲。 《Docker与Kubernetes容器虚拟化技术与应用》适合容器虚拟化技术的初学者，对容器技术感兴趣的技术人员，以及想从事物联网工作的读者。《Docker与Kubernetes容器虚拟化技术与应用》还可作为容器虚拟化技术基础用书，以及中职、高职、应用型本科专业的教材。,48.86,Docker与Kubernetes容器虚拟化技术与应用
[美]贾森·R·布里格斯(Jason R· Briggs) 著,Python是一款解释型、面向对象、动态数据类型的高级程序设计语言。Python语法简捷而清晰，具有丰富和强大的类库，因而在各行各业中得到广泛的应用。对于初学者来讲，Python是一款既容易学又相当有用的编程语言，国内外很多大学设了学习课程，将Python作为一门编程语言学习。 本书是一本可让读者轻松、快速掌握Python编程的门读物。全书分为3部分，共16章。第一部分是第1章到第10章，介绍Python编程基础知识，包括Python的安装和配置、变量、字符串、列表、元组和字典、条件语句、循环语句函数和模块、类、内建函数和绘图，等等。第二部分是第11章和第12章，介绍如何用Python发实例游戏弹球。第三部分包括第13章到第16章，介绍了火柴人实例游戏的发过程。 本书语言轻松，通俗易懂，讲解由浅深，力求将读者阅读和学习的难度降低。任何对计算机编程有兴趣的人或者初次触编程的人，不论孩子还是成人，都可以通过阅读本书来学习Python编程。,51.07,趣学Python——教孩子学编程(第2版)
陈根,hatGPT爆火，标志着人工智能从量变到质变的飞跃，一场新的人工智能革命已经到来。本书共6章，介绍了ChatGPT的诞生和发展，以及ChatGPT背后的技术路线；分析了ChatGPT及大模型训练对全球商业格局的冲与影响，涉及OpenAI、微软、谷歌、百度、腾讯、阿里巴巴等广受关注的互联网科技公司；选取了具有代表性的行业，解读ChatGPT狂潮引发的产业颠覆与模式创新。同时，本书对未来的强人工智能与人类社会的关系行了深度研讨。,48.86,ChatGPT: 读懂人工智能新纪元
[日]平泽章 著,本书以图配文的形式，直观易懂地介绍了面向对象的全貌及其包含的各项技术，包括面向对象编程、框架、设计模式、UML、建模、面向对象设计和敏捷发方法等。对于各项技术是如何使用的（How），书中只行简要的说明，而重介绍这些技术是什么（What），以及为什么需要这些技术（Why）。另外，“编程往事”专栏介绍了作者年轻时的一些经历；“对象的另一面”专栏以与正文不同的视角讲解面向对象这一概念普及的背景和原因，通俗有趣；“当今的OOP”专栏介绍了Java、Python、Ruby、JavaScript等当今流行的编程语言的动向。,34.9,面向对象是怎样工作的(第3版)
董政,本书面向初学者，比较全面的介绍了机器学习的基本方法，循序渐的阐述了其中的数学原理，让读者能够知其然，然后知其所以然。书中结合应用场景，列举了大量编程实例帮助读者展动手实践，理论与实践相辅相成，对算法原理产生更加直观和感性的认识。作者希望能够通过本书帮助读者揭人工智能领域的神秘面纱，走人工智能和机器学习的大门，了解其中的奥秘，甚至成为该领域的学习者、研究者和实践者。,47.4,机器学习入门:数学原理解析及算法实践
张俊红,集Python、Excel、数据分析为一体是本书的一大特色。本书围绕整个数据分析的常规流程:工具熟悉-获取数据-数据熟悉-数据处理-数据分析-分析结果行Excel 和Python 对比实现，告诉你每一个过程中都会用到什么？过程与过程之间有什么联系。这样一本书既可以作为系统学习数据分析流程操作的说明书，也可以作为一本数据分析师案头的实操工具书，随时备查。本书通过对比Excel 功能操作去学习Python 的实现代码，而不是直上来就学习Python代码，大大降低了学习门槛，消除了读者对代码的恐惧心理。适合刚行的数据分析师，也适合对Excel 比较熟练的数据分析师，或从事其他岗位想提高工作效率的职场人。,19.99,对比Excel，轻松学习Python数据分析
韩伟;赵盼,"本书从初学者的角度出发，提供了Python从门到数据分析可视化再到Web发所需要的知识和技能,适用对象为基础门者和技能爬升者。 本书按照技能的熟练程度分为篇。篇初窥门径（第1~3章）主要包含的Python基础语法知识。第二篇略有小成（第4~6章），读者从这里始始学习Python数据处理，并体验如何调用Python第三方库实现Web数据交互可视化分析。第三篇登堂室（第6和7章），读者自此始触Django，并学习如何使用Django发一个静态网站。第四篇融会贯通（第8章），借由此章读者可以将前面学习的内容融会贯通，并能根据自己的理解实现一些简单的功能，并据此完成投票网站的发。第五篇炉火纯青（第9章），本章是对前面几章内容的升华，需要读者充分掌握前两个案例才能理解本章的内容。学会了本章，读者将完成一个精美的、功能完善的数据分析可视化网站，并可以应用于日常生活和工作。第六篇返璞归真（第10章），本章将讲解如何将发好的应用程序部署在服务器上实现实际应用，读者将初步触服务器部署的一些基础知识，并感受到学无止境。 本书适合Python爱好者，需要学习编程辅助提高工作效率的在职者，以及具备一定编程基础，想要发作品的自学者阅读。",48.3,Python Web数据分析可视化——基于Django框架的开发实战
"(美)科尔曼(Cormen,T·H)",读者将理解什么是计算机算法，如何描述它们，以及如何来评估它们。这些计算机算法将提供：利用计算机搜索信息的简单方式；解决各种排序问题的方法；利用有向无环图和短路径法来解决基本问题的方法（可用于建模公路网络，任务间的依赖以及金融关系；解决字符串（例如DNA结构）问题的方法；密码学背后的基本原理；数据压缩的基础知识；以及甚至一些没有人能够理解如何在计算机上用相当长的时间来解决的问题。? ?,38.35,算法基础:打开算法之门
(美)布莱恩·W· 柯尼汉(Brian W· Kernighan),从1999年始，作者在普林斯顿大学设了一门名为“我们世界中的计算机”的课程（COS 109：Computers in Our World），这门课向非计算机专业的学生介绍计算机的基本常识，多年来大受学生追捧。本书就是基于这门课程的讲义编写而成的，书中不仅解释了计算机和通信系统的工作原理，还分析了新技术带来的隐私和安全问题。第2版的新增章节讨论了Python编程、人工智能、机器学习以及大数据等内容。本书适合所有希望了解数字世界的读者阅读，通过了解技术的工作原理、起源和未来发展趋势，更好地理解并改变我们身处的世界。,47.4,普林斯顿计算机公开课(原书第2版)
[美]布莱恩·克里斯汀,如今的“机器学习”系统已具备非凡能力，能够在各种场合代替我们看和听，并代表我们做决定。但是警钟已经敲响。随着机器学习飞速发展，人们的担忧也在与日俱增。如果我们训练的人工智能（AI）做的事情与我们真正的目的不符，就会引发潜在的风险和伦理问题。研究人员称之为对齐问题（the alignment problem）。 畅销书作家布莱恩·克里斯汀用生动的笔调，清晰阐释了AI与我们息息相关的问题。在书中，我们将认识批积极应对对齐问题的学者，了解他们为了避免AI发展的局面失控，付出的卓绝努力和雄心勃勃的计划。克里斯汀不仅精练地描绘了机器学习的发展史，并且亲自深科研一线同科学家对话，准确呈现了机器学习前沿的展。读者可以清晰认识到，对齐问题研究的成败，将对人类的未来产生决定性影响。 对齐问题还是一面镜子，将人类自身的偏见和盲暴露出来，让我们看清自己从未阐明的假设和经常自相矛盾的目标。这是一部精彩纷呈的跨学科史诗，不仅审视了人类的科技，也审视了人类的文化，时而让人沮丧，时而又柳暗花明。,49.99,人机对齐
虞芬 张扬  靳红霞 主编,微信小程序是一种“即用即走”的应用。本书重视理论讲解与实际操作的结合，力求通过丰富的案例详细讲解微信小程序发的流程和实用技术。全书共 15 章，内容涵盖微信小程序简介、微信发者工具、基础架构、文件配置、WXML语法、WXSS 布局、WXS 语法等基础概念，以及在小程序中使用 JavaScript 语言的方法，微信小程序核心组件的使用方法，通过 API 模块实现复杂程序的方法，云发模式，自定义组件发方法，常用第三方组件库的使用方法等实用技术，后两章还引了两个项目实战案例，以便读者上手体验微信小程序的真实发流程。 本书可作为高等院校计算机等相关专业学生的教材，也可作为广大计算机编程爱好者的参考书。,38.8,微信小程序开发与实战(微课版)
王琤,本书全面介绍了数据架构与数据建模的相关知识，全书分为4篇，共16章。 第1~3章为数据架构基础篇，介绍了企业架构、数据架构及数据模型的基础概念。第4~9章为数据模型设计篇，介绍了如何通过数据模型记分卡规范化数据模型设计，以及经典数据建模方法论，包括范式建模、维度建模、Data Vault建模、统一星型建模。第10~12章为数据模型落地篇，介绍了在企业中如何实现多人协作构建模型、如何管控数据模型、数据模型数据与数据标准，以及元数据如何形成数据治理闭环。第13~16章为行业数据模型篇，分别介绍了证券、保险、教育、航空业的数据架构及数据模型。 本书既可以作为数据建模人员、数据发人员的学习用书，也适合非IT专业但对数据有强烈兴趣的业务人员使用，还可以作为高等院校计算机、数学及相关专业的师生用书和培训学校的教材。,49.5,数据架构之道:数据模型设计与管控
阳光灿烂 著,本书旨在帮助读者掌握如何用Python有效地处理Excel数据，实现办公自动化。本书首先介绍开发环境的搭建和Excel模块的安装，接着讲解编写代码前的准备，然后介绍如何使用openpyxl和pandas这两个模块编写员工信息表查询案例，*后介绍PyInstaller模块与.py文件的编译，以及如何快速移植本书案例的代码。本书不仅适合办公人员阅读，还适合想要了解openpyxl模块和pandas模块的初级开发人员阅读。,51.07,用Python轻松处理Excel数据
